,group_0_ICC_2,group_1_ICC_2,group_0_kappa,group_1_kappa,group_0_PABAK,group_1_PABAK,group_0_PAK,group_1_PAK,group_0_BAK,group_1_BAK
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.9628692696648831,0.9642975927297245,0.966813501073962,0.9646119538712344,0.9670544692531644,0.9733166562202935,0.9670551637629894,0.9733196300188357,0.966812806564137,0.9646089800726922
0.02,0.9440257589062945,0.9278414266789475,0.9370438539681508,0.928716489727789,0.9375926450582197,0.9464988709302988,0.9375969050605532,0.94650787132911,0.9370395939658174,0.9287074893289781
0.03,0.9122790955223348,0.9070251618751252,0.9038045886514448,0.9097529865714314,0.9046530477929011,0.9333026595500185,0.9046587665127437,0.9333068857434459,0.9037988699316022,0.909748760378004
0.04,0.903232300560506,0.8479875390832208,0.898796285574251,0.8542650181193908,0.8997006694642025,0.8891834398292187,0.8997087822211048,0.8892203769488845,0.8987881728173488,0.8542280809997249
0.05,0.8635018506907635,0.8234537230469867,0.870021004011908,0.8261459729666759,0.8711428838027695,0.8669155020179543,0.871153910510985,0.8670132249922633,0.8700099773036929,0.8260482499923671
0.06,0.8395655570181105,0.8241304704986913,0.838001032499518,0.8090702681546947,0.8397387686902238,0.8530546511754323,0.8397782408711357,0.8532191227816479,0.837961560318606,0.8089057965484789
0.07,0.8160180917734902,0.7753245656533092,0.808361324541735,0.7664533117889908,0.81027414213269,0.8183592071399634,0.8102885071525339,0.8186257184409836,0.8083469595218912,0.7661868004879706
0.08,0.7907055492605016,0.7511949772982107,0.7657400256090566,0.7555202287615944,0.7678700835294037,0.8126567418337263,0.7679349566641018,0.812892132142894,0.7656751524743582,0.7552848384524268
0.09,0.7618782057826907,0.7195060158192361,0.738068750056809,0.719309605525448,0.7408751510224469,0.7842926762919423,0.7409369988600432,0.7844877074989587,0.7380069022192131,0.7191145743184315
0.1,0.7535051675144195,0.7041664358872742,0.7367140660072616,0.689626782718862,0.7388295784658613,0.7561755622015921,0.7389204117592374,0.7566577606322262,0.7366232327138856,0.689144584288228
0.11,0.7241195069082287,0.6877743851997559,0.7209240487000065,0.6615274105053033,0.7236513760573823,0.7379712633594271,0.7237864067728531,0.7384502771015033,0.7207890179845357,0.661048396763227
0.12,0.6974479629086484,0.6728523919034384,0.6650532947140964,0.646515957399901,0.6686274697460542,0.7203553188029013,0.6687766598782622,0.7211161638460383,0.6649041045818886,0.645755112356764
0.13,0.7052568000392998,0.6635334892229687,0.6736369919800514,0.6469762820035072,0.6766420775281412,0.7256499930959016,0.6766883140021837,0.726185643162454,0.6735907555060092,0.6464406319369548
0.14,0.6683341883051559,0.6195510675932765,0.6300139475561668,0.6285167896289908,0.6336518591060595,0.7130026036751148,0.6338087681506803,0.7133552691771159,0.6298570385115457,0.6281641241269897
0.15,0.6715579388159956,0.6271030164457487,0.633798094982947,0.5701635706065875,0.6375976987557803,0.6560208567491954,0.6376474509203209,0.6574316477135614,0.6337483428184065,0.5687527796422216
0.16,0.6521195635415339,0.6198633009867086,0.6114855604689764,0.6057175316012574,0.6155170459196257,0.6897921022100764,0.6156246768534628,0.6905642854274896,0.6113779295351394,0.6049453483838443
0.17,0.6209906907875338,0.5772494285858019,0.5916417450549496,0.5512826392256442,0.5955338411756442,0.640464520684945,0.5957379595488893,0.6422257207311997,0.5914376266817046,0.5495214391793898
0.18,0.6231461094296004,0.5663527728033119,0.5907380538037812,0.5515322722791558,0.5948575439865922,0.6409597238391458,0.5950441785260052,0.6425119266812611,0.5905514192643682,0.5499800694370406
0.19,0.6084627645374261,0.5593740485458536,0.5738276921726965,0.542598227663704,0.5785717315743057,0.6372552439299516,0.5787326155626596,0.6385853157168049,0.5736668081843428,0.541268155876851
0.2,0.6032896401439863,0.5396514146903904,0.5432518930614704,0.5282465095152349,0.5481561998209755,0.6190337146381792,0.5483692361879242,0.6208421029237443,0.5430388566945217,0.5264381212296698
0.21,0.6030419911562015,0.5345323225540315,0.5456772825288131,0.47781789633258825,0.5502170934229398,0.5860017329789662,0.5503243072378663,0.5873396811658698,0.5455700687138865,0.4764799481456848
0.22,0.5561753024206085,0.5391896033921341,0.5265589272757619,0.5272868534170263,0.5308762746474557,0.6156712095610776,0.5309937576970618,0.618439460054658,0.5264414442261557,0.524518602923446
0.23,0.5546491983792945,0.5201191035995398,0.48991561806219386,0.45315125694779157,0.49557621178753203,0.5550354730188266,0.4957974649426376,0.5576255015469351,0.4896943649070883,0.450561228419683
0.24,0.5434980986087359,0.4892006694231304,0.485198900000685,0.45598336617224267,0.48993724849342823,0.5480778672275739,0.49006981679216705,0.5525220032343774,0.48506633170194624,0.45153923016543923
0.25,0.5553549927221232,0.4983789476464742,0.5269531465917675,0.4414329813224267,0.5324319455002293,0.534625657539191,0.5326886558363867,0.538925102830832,0.5266964362556102,0.43713353603078586
0.26,0.5418090234383104,0.4736790926684189,0.48326334150977257,0.4278135443109801,0.4883118597810297,0.5296628300986498,0.4886195510288072,0.5328857451862408,0.48295565026199505,0.4245906292233892
0.27,0.5307820327218775,0.46601862585609916,0.47358922878688786,0.40500204144848323,0.4772218935551672,0.5127047514680785,0.4779030490736715,0.5158539715302932,0.4729080732683837,0.4018528213862685
0.28,0.5061118486060329,0.4510704682582777,0.44658227703666126,0.379120373254613,0.451427001351359,0.4864085716988484,0.4519623124805957,0.4904656376109308,0.4460469659074245,0.37506330734253057
0.29,0.4916020480557851,0.42482664019367145,0.42873522302840367,0.4012281745895471,0.4344822985806651,0.4936604653393234,0.4349726269601069,0.49999353724440176,0.428244894648962,0.3948951026844687
0.3,0.4972000468082979,0.4527949312324271,0.42088957681035594,0.39369098433639527,0.42677992152060645,0.5037060147342334,0.42729236979936064,0.5072928234993437,0.42037712853160175,0.3901041755712849
