,group_0_ICC_2,group_1_ICC_2,group_0_kappa,group_1_kappa,group_0_PABAK,group_1_PABAK,group_0_PAK,group_1_PAK,group_0_BAK,group_1_BAK
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.9870318489869143,0.9843615843923346,0.9840978569508548,0.9790543219605299,0.9842447003488524,0.9847857994907455,0.9842449908946656,0.9847872061228348,0.9840975664050419,0.9790529153284406
0.02,0.981575027860074,0.964238366259966,0.9742996631308015,0.9495414285549831,0.9744844317439106,0.9618707721328068,0.9744846253631707,0.9618716593885794,0.9742994695115417,0.9495405412992104
0.03,0.9654284860286889,0.9639519930681866,0.9557827260083656,0.9455308030066494,0.956158656943068,0.9590849959633809,0.9561591184926718,0.9590871175536547,0.9557822644587619,0.9455286814163758
0.04,0.9556949974532911,0.947535412531894,0.9258201369525765,0.9201341768273827,0.9263726480030556,0.9397100832274046,0.9263745700218291,0.9397238094919895,0.925818214933803,0.9201204505627981
0.05,0.9582800864128979,0.9392413224702002,0.9379851238247353,0.9045810240412988,0.9385077445486314,0.927592116927974,0.938512361370222,0.9276197236108997,0.9379805070031446,0.9045534173583734
0.06,0.9358276793838616,0.9264552385340019,0.9064214365263169,0.9015151713116477,0.9071831711869922,0.9262258589175263,0.9071911944265973,0.9262490128492266,0.9064134132867119,0.9014920173799472
0.07,0.9256376682344631,0.9050731528333429,0.8927407384854129,0.8745912326697635,0.8937589144525802,0.904744586462966,0.8937736671536713,0.9047815640999369,0.8927259857843218,0.8745542550327927
0.08,0.9158047951781159,0.8909246704393903,0.8826337009291766,0.8652187068272866,0.8835494568104687,0.8958244568846332,0.8835580459930223,0.895903852633916,0.882625111746623,0.8651393110780037
0.09,0.9145225471374362,0.8940920356841178,0.8732125228805805,0.8670315843365056,0.8741223620939934,0.8998016442427904,0.8741419846900722,0.8998424180714704,0.8731929002845018,0.8669908105078259
0.1,0.8983750537813975,0.884325528121684,0.8354980495169834,0.8289873019117054,0.8367326056168872,0.8695064719772116,0.8367466905387083,0.8696107375382429,0.8354839645951622,0.8288830363506742
0.11,0.8895375458976055,0.8648555177564301,0.8365265972087975,0.7991196882814746,0.8377443883375996,0.8444266391794762,0.8377561020774487,0.8446498754201469,0.8365148834689485,0.798896452040804
0.12,0.8773524337598507,0.8502328397021801,0.8284995195258006,0.7943774255690779,0.8298033925935064,0.8389823043488388,0.8298294420043664,0.8393262040219067,0.8284734701149408,0.7940335258960101
