,group_0_ICC_2,group_1_ICC_2,group_0_kappa,group_1_kappa,group_0_PABAK,group_1_PABAK,group_0_PAK,group_1_PAK,group_0_BAK,group_1_BAK
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.972653043089737,0.9701659805096992,0.9756550062886402,0.9794605090437194,0.9758786400798865,0.9847117895636053,0.975878946537609,0.9847131106609593,0.9756546998309176,0.9794591879463657
0.02,0.949042860094659,0.9118256354614775,0.9543629544675982,0.9350575709568882,0.9547841884433932,0.9505237760858563,0.9547847187033186,0.950562164876119,0.9543624242076728,0.9350191821666254
0.03,0.9228092993493491,0.9028401352736761,0.9275712574259769,0.9208040748650024,0.9281909030526911,0.9397117485319264,0.9281919602641786,0.9397758794573523,0.9275702002144894,0.9207399439395768
0.04,0.8968193667279024,0.8665503533643646,0.900460554625553,0.8987045706142276,0.9011053311098502,0.9218188002854605,0.9011168322930387,0.9218750118943302,0.9004490534423644,0.8986483590053578
0.05,0.8798557797143804,0.8438461484718266,0.8890811102426468,0.8489146718423803,0.889896037128225,0.8837604391618091,0.8899078141359607,0.8838683241887108,0.8890693332349112,0.8488067868154788
0.06,0.8489907497536213,0.8293556640166905,0.8710917190906929,0.8280563076233515,0.872229930539007,0.8677617488169036,0.8722342169167749,0.8678774561421569,0.871087432712925,0.8279406002980982
0.07,0.8238330655899075,0.7780227150562933,0.832762105349986,0.808941776043017,0.8341958704493881,0.8514753721408832,0.8342042450509686,0.8516390952065882,0.8327537307484055,0.8087780529773119
0.08,0.7804591864389823,0.7965705072175183,0.8001472857332521,0.7925576561526354,0.8015684221369707,0.8345750539762784,0.8016173864144227,0.8352578743818491,0.8000983214557997,0.791874835747065
0.09,0.7802441163162849,0.7529060291847883,0.7920181584793505,0.7645934213170236,0.7934260359231476,0.8171780003326248,0.7934584845756074,0.8174048499054404,0.7919857098268908,0.764366571744208
0.1,0.7722219284142928,0.6979610623424455,0.7853734809003448,0.6953332823491075,0.7874532241820893,0.7585185905070819,0.7874830785225774,0.7592405090722617,0.7853436265598567,0.6946113637839277
0.11,0.7650022086954928,0.6963919781162825,0.7809817271970335,0.7178533504114226,0.7827909963597579,0.774867847328407,0.7828150316767994,0.7756574563618103,0.780957691879992,0.7170637413780192
0.12,0.7426720877163031,0.694955068600843,0.7615064290249185,0.6899237171192217,0.7629447809539556,0.754079405925243,0.763045102541597,0.7547657965631215,0.7614061074372771,0.6892373264813433
0.13,0.7147546997208231,0.6486552800762923,0.7242387434860809,0.6591081109716764,0.7264443401734033,0.7275641208105628,0.7265063111361735,0.7284709889638548,0.7241767725233108,0.6582012428183847
0.14,0.7051944438718444,0.64419204397778,0.713556261171056,0.6609446267664773,0.7152269920580959,0.7254138293190243,0.7153406696948992,0.7270418163305582,0.7134425835342528,0.6593166397549433
0.15,0.6853895803396985,0.6261581822108352,0.698364248633456,0.6128881791296864,0.7000657364686702,0.6865428160113736,0.7002010530162375,0.6881277583272692,0.698228932085889,0.6113032368137908
0.16,0.6755407975221672,0.629949804588851,0.6874824615760228,0.6400570247155353,0.6896846191985128,0.7042823392963867,0.6897793540925564,0.7065215218884362,0.6873877266819791,0.6378178421234858
0.17,0.6655391112122558,0.5978064437840005,0.6725963654510381,0.5939950574754514,0.6746756037158965,0.6692375077067911,0.6747642127537781,0.6711013169811755,0.6725077564131563,0.592131248201067
0.18,0.6277015356895737,0.573400947928077,0.63248958108828,0.6124762452894145,0.6347675921319091,0.6846692284661298,0.6348990916581092,0.6865414629325818,0.6323580815620802,0.6106040108229625
0.19,0.6311556871670515,0.5535787631686234,0.6418514819713966,0.5749870082477196,0.6435731692952478,0.6493049084781862,0.6438417911480881,0.6519778653524055,0.641582860118556,0.5723140513735003
0.2,0.6115313388202376,0.5429329813258109,0.6311914734084642,0.5412786027766758,0.6337425259947184,0.6179409184488802,0.6340491420467942,0.6215150468325652,0.6308848573563883,0.5377044743929907
0.21,0.6113326686036309,0.5623050893480648,0.6090677569200637,0.5662219846886389,0.6105752511931565,0.6409522339284909,0.6109757286211887,0.6440225715351234,0.6086672794920315,0.5631516470820064
0.22,0.5986505913882543,0.523741690179303,0.5941765310119693,0.5195236999169925,0.596009652015532,0.5971438194572795,0.5963175483957792,0.6016034995956289,0.5938686346317222,0.5150640197786431
0.23,0.5854492395154844,0.4999858347051946,0.571427491629206,0.5368718808128874,0.5731184262163918,0.6130393584165783,0.5734664210884602,0.6170335814158432,0.5710794967571375,0.5328776578136225
0.24,0.5652389890139953,0.5012735771894908,0.5607752137951767,0.4823401268212974,0.5624660456426195,0.5711957565108585,0.5628219622051264,0.574711533845352,0.5604192972326699,0.47882434948680397
0.25,0.5622625923321534,0.4989552321788608,0.5724778819826722,0.49394807566807175,0.5744080389789038,0.5694241291944933,0.5748136051380885,0.5749746316750447,0.5720723158234874,0.48839757318752036
0.26,0.5438364314491528,0.4883452059811709,0.5292401366709724,0.4675265414260329,0.5323118493008028,0.5512435304825887,0.5325454232386118,0.5566980138112138,0.5290065627331636,0.4620720580974078
0.27,0.5426429627283025,0.4874793647921908,0.508675702276393,0.4929381508830127,0.5113294225266874,0.5628041090938783,0.5116158274048876,0.5698557978740945,0.5083892973981929,0.48588646210279646
0.28,0.5306602109017002,0.4601515307038137,0.5123135888054637,0.460996033475641,0.5140942452605406,0.5432487094872582,0.514639993186981,0.5490388664029158,0.5117678408790235,0.45520587655998346
0.29,0.5079483974483942,0.45145318258251776,0.509895472286378,0.451178936084479,0.5119456559908923,0.5398248464874081,0.5122867029046787,0.5448638703565385,0.5095544253725914,0.44613991221534866
0.3,0.5201551818768135,0.4531447931968103,0.501247635686309,0.43489952749856,0.5024036981960645,0.514363656796688,0.503108271038102,0.5215291514964875,0.5005430628442715,0.4277340327987605
