,group_0_ICC_2,group_1_ICC_2,group_0_kappa,group_1_kappa,group_0_PABAK,group_1_PABAK,group_0_PAK,group_1_PAK,group_0_BAK,group_1_BAK
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.9844232852939468,0.9829450009578065,0.9736809783732582,0.9782096375864665,0.9738908638061489,0.9838214306987796,0.9738909992232095,0.9838219608234992,0.9736808429561975,0.9782091074617469
0.02,0.9772971416979056,0.9702117613049651,0.9542386372879502,0.9512294418291308,0.9546575329843613,0.9636245949203006,0.9546600161227751,0.9636259237974591,0.9542361541495363,0.951228112951972
0.03,0.9638945974813173,0.954878886814859,0.9379801091994964,0.9327543238426552,0.9385928711147329,0.9495903058659024,0.9385974068610571,0.9495919595335444,0.9379755734531722,0.9327526701750133
0.04,0.9487611272752676,0.9398630074552692,0.9043319661702093,0.8939958594712376,0.905195414823238,0.9199883479296476,0.9052060146722264,0.919991183182541,0.9043213663212211,0.8939930242183441
0.05,0.9430209809848084,0.9304420386901479,0.8937969504697817,0.8757053219174644,0.8947687664501689,0.9077452694346622,0.8947725303281265,0.9077494461748618,0.8937931865918243,0.8757011451772648
0.06,0.9198403442846453,0.9124911178886258,0.8623131662239196,0.8679981459927978,0.8637674205225151,0.9003098404172079,0.863797952501054,0.9003399764435926,0.8622826342453805,0.8679680099664132
0.07,0.9256365198887707,0.8942708764834657,0.8632650213595596,0.8264571279134062,0.8646911678692906,0.8705203177615003,0.8647367426729847,0.87057154991145,0.8632194465558655,0.8264058957634564
0.08,0.9146350257622068,0.8876006031305262,0.837151927051589,0.815768519184393,0.8387001250431905,0.8625209066703207,0.838780081043246,0.862538353600091,0.8370719710515336,0.8157510722546224
0.09,0.8940310390734441,0.8803765477873036,0.8154934903115139,0.8058551810538225,0.8172504112171927,0.8529415034953505,0.8172857451371349,0.8530254472869465,0.8154581563915716,0.8057712372622264
0.1,0.8907558279267282,0.866716009425455,0.7996368236857748,0.7845908143503426,0.8017853277992091,0.8358602739099948,0.8018584165805824,0.8359488030436563,0.7995637349044014,0.7845022852166814
0.11,0.8752884823640853,0.8528828822172055,0.7785758030068347,0.742934029263369,0.7808625859884393,0.8011549862312728,0.7809747051761085,0.8014410350199114,0.7784636838191656,0.7426479804747305
0.12,0.8629531358763426,0.8361408466823563,0.7656706303741018,0.7243993342809197,0.7686398334082151,0.7896700190396775,0.7687880930306885,0.7898223973511993,0.7655223707516283,0.7242469559693978
0.13,0.8611556152061466,0.8208129437044012,0.7570005395354772,0.6951070775996946,0.7595191849797028,0.7662757226855053,0.7595437097555386,0.7665715303705352,0.7569760147596416,0.6948112699146647
0.14,0.8526778808412322,0.8306969571745411,0.7398153275343438,0.7213617578343507,0.7428856142143433,0.7849084913242612,0.7430822544686883,0.7850774314076143,0.7396186872799987,0.7211928177509976
0.15,0.8387009707462131,0.7830196422937377,0.7250932381554621,0.6664361611220826,0.7282200223847134,0.7460897599941804,0.7283072247379578,0.7462405889337559,0.7250060358022177,0.6662853321825073
0.16,0.83595774881165,0.7950372049730328,0.7241567798989501,0.6693579932134386,0.7271411851709446,0.7437953720690607,0.7272406127903487,0.7441185805883817,0.7240573522795458,0.6690347846941174
0.17,0.8161762630582,0.7937002375171354,0.6978243607260257,0.6741121130328114,0.7017523921952681,0.752180934073238,0.7019993250308717,0.7522827575315313,0.6975774278904222,0.6740102895745181
0.18,0.8098568594749388,0.7703383181454754,0.6671576773620572,0.6510165291284997,0.6707917660276845,0.7317139794693837,0.6710482553381889,0.7323187122068087,0.666901188051553,0.6504117963910747
