,group_0_ICC_2,group_1_ICC_2,group_0_kappa,group_1_kappa,group_0_PABAK,group_1_PABAK,group_0_PAK,group_1_PAK,group_0_BAK,group_1_BAK
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.9928452343275589,0.9853859011526837,0.9811093587518454,0.9660226479930534,0.9812893360987494,0.9743865209165639,0.9812895655440872,0.9743887354975669,0.9811091293065074,0.9660204334120503
0.02,0.9870580651965236,0.9754834282680118,0.9706946068134876,0.9423347135664649,0.9709765234898009,0.9561869224070719,0.9709767307869246,0.9561951938874413,0.9706943995163643,0.9423264420860955
0.03,0.9770081336878456,0.9691935574266367,0.9498103883545062,0.9392270979680534,0.9502791391782793,0.9541350410008791,0.9502796854894564,0.9541408602109429,0.9498098420433291,0.9392212787579893
0.04,0.9686535659088061,0.9571634261409805,0.930134522779974,0.9200201630421467,0.9307097874844965,0.9401187254729976,0.930715367075941,0.9401363791853647,0.9301289431885295,0.9200025093297798
0.05,0.960429558751558,0.9494686317992971,0.9099534372883793,0.8926454962061052,0.9107553426497865,0.9181001082530307,0.9107610039599294,0.9181494325529569,0.9099477759782365,0.8925961719061789
0.06,0.955282195844265,0.9377015621802256,0.900758514179065,0.8838106737314064,0.9015998999215558,0.9123119838073869,0.9016021564890752,0.9123301276496228,0.900756257611546,0.8837925298891705
0.07,0.9468329366693956,0.9213587316949944,0.8821239158580185,0.8508162945929613,0.8829363912226442,0.8856276146957672,0.8829510776186129,0.8857006627132151,0.8821092294620497,0.8507432465755134
0.08,0.9389679775577233,0.9222056369545326,0.8673914382371114,0.8530937699959283,0.8683511809497478,0.8883732978364366,0.8683777849814902,0.8884143841321837,0.867364834205369,0.8530526837001808
0.09,0.9370350834609799,0.9195895442729196,0.8770645701570012,0.8262298562169326,0.8780879785298612,0.8678185972083157,0.8781003745426146,0.8679036867600948,0.877052174144248,0.8261447666651536
0.1,0.9259286655382679,0.8947655041644926,0.8261749621187093,0.8081023618569588,0.8273546229893102,0.852450695523674,0.8273982984752773,0.8525688343870452,0.8261312866327419,0.8079842229935874
0.11,0.9200101446482976,0.8721750516267068,0.8197098516042862,0.7732605636535652,0.8209977166211784,0.8240644332910287,0.821036518284339,0.8243000706288948,0.819671049941126,0.7730249263156992
0.12,0.9160591014100191,0.8763620631227074,0.8178543977828342,0.7842084583026999,0.8190251146322389,0.8338660508553911,0.819070870843678,0.8341161147324728,0.8178086415713952,0.7839583944256182
0.13,0.8968388072902009,0.8791886107691349,0.7915255260216829,0.7652940185449464,0.7931087572079922,0.8164889122567096,0.7931281314961082,0.8168703691289216,0.7915061517335668,0.7649125616727345
