,group_0_ICC_2,group_1_ICC_2,group_0_kappa,group_1_kappa,group_0_PABAK,group_1_PABAK,group_0_PAK,group_1_PAK,group_0_BAK,group_1_BAK
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.9861810243421172,0.9789167326388712,0.9781946772652013,0.9739789179163306,0.9783858895203252,0.9800343266783301,0.9783861220008605,0.9800360305703322,0.9781944447846659,0.9739772140243288
0.02,0.9651941815498244,0.9463003367911288,0.9489078252335175,0.9425787753999767,0.9493132350661284,0.9562877200600803,0.9493150476521318,0.9562937630048183,0.948906012647514,0.9425727324552389
0.03,0.9471066184852616,0.9414846268196841,0.9275537915843632,0.9274577595582729,0.9282211284524123,0.9448511468595273,0.9282239145882663,0.9448600008063197,0.9275510054485092,0.9274489056114806
0.04,0.9315965169038739,0.9014783226065056,0.9093615479684279,0.909791214688096,0.9100200523523447,0.9298575149543964,0.9100310476909792,0.9299197484732586,0.9093505526297936,0.909728981169234
0.05,0.9212870400402394,0.8903134005317976,0.8997841736689122,0.8713217153691541,0.9006082883418234,0.9019476290357022,0.9006132760990875,0.9020004178327359,0.8997791859116482,0.8712689265721206
0.06,0.9024000829320908,0.8609379523772395,0.8648902626789307,0.8314639371823619,0.8658861312213775,0.8694243939481637,0.8659107109334883,0.8695873390096818,0.8648656829668198,0.8313009921208441
0.07,0.881687164220191,0.8398051007000913,0.8436373985380896,0.8030033840953834,0.8446070286969241,0.8458912947362436,0.8446468987622456,0.8461056213348593,0.8435975284727683,0.8027890574967677
0.08,0.8532148361254851,0.8191623773067022,0.8258675529846837,0.7687501603451026,0.8270201016292251,0.8203879149788499,0.8270634775744158,0.820590929437331,0.825824177039493,0.7685471458866213
0.09,0.8412720253111606,0.8124854561302236,0.7961439010101318,0.7765110411765725,0.7972669413144752,0.8243245805953896,0.7973409198932896,0.8246585333605685,0.7960699224313175,0.7761770884113937
0.1,0.834470717790951,0.7787482204089254,0.7900718972806665,0.7055342898037764,0.7912319143309231,0.7688694812835865,0.7913112318779614,0.7693953534039112,0.7899925797336282,0.7050084176834519
0.11,0.8122309788506046,0.7516300456475087,0.7590827844765313,0.7385981640803411,0.7600346061292372,0.7896477513535606,0.7602617248675505,0.7904552751328591,0.7588556657382182,0.7377906403010426
0.12,0.8167455784025298,0.7761736253931121,0.7671470860237003,0.7285241548586235,0.7683518767187258,0.7832776052112693,0.768459201426197,0.7839932769232012,0.7670397613162293,0.7278084831466914
0.13,0.7891307379719432,0.7166775751927541,0.7474341876859356,0.6526784443245612,0.7487607209527694,0.7195280019485029,0.7488751274994195,0.7207395560343302,0.7473197811392854,0.6514668902387338
0.14,0.7764664925402792,0.7082644311382226,0.7157409047451219,0.6779993823657784,0.7165842421688513,0.7393886482594546,0.7168809775559464,0.7406703983161265,0.7154441693580267,0.6767176323091066
0.15,0.7753501007811348,0.6913190183754527,0.7037719053324738,0.6479735005152361,0.7047005217581693,0.7122070396456195,0.7050036052241357,0.7139333768544777,0.7034688218665075,0.6462471633063779
0.16,0.7758474910344365,0.6886720208230718,0.6981345733089965,0.641361375229528,0.6993934257331279,0.7065978326871104,0.6996287171911717,0.7083736017539292,0.6978992818509525,0.6395856061627091
0.17,0.7404695330866771,0.6848843119512138,0.6876798007392789,0.6322443109870182,0.6889238195764537,0.7008256928855131,0.6892347616731693,0.7026077683851373,0.6873688586425633,0.6304622354873941
0.18,0.71941273834058,0.6911388783690173,0.6664674016115611,0.6239723108779514,0.6663513189770021,0.6932139042407468,0.6672257787175473,0.694951206515692,0.665592941871016,0.6222350086030063
0.19,0.7189729970570979,0.6638900149770596,0.6538864575076351,0.6196746174893125,0.6542117044351962,0.6832015730107905,0.6548746952702139,0.6859179295861522,0.6532234666726173,0.616958260913951
0.2,0.706339929686305,0.6268344579647926,0.6366346142541999,0.5492990077412914,0.6372446910229967,0.6246394176749502,0.6379024578771,0.6281524275610508,0.6359768474000966,0.5457859978551908
0.21,0.6929959622010975,0.6338313701273355,0.6286465108933832,0.5616181627823391,0.629739462970781,0.6362602424745546,0.6301669485433984,0.6394433950010517,0.628219025320766,0.558435010255842
0.22,0.6720145988751977,0.6251841666181265,0.5857372640807659,0.5455269059197871,0.5861572570575824,0.6205370709602853,0.586992375645454,0.6241516999737395,0.5849021454928941,0.5419122769063328
0.23,0.6817481464534192,0.5863908082299778,0.5909331287246193,0.5346491833583851,0.5913943211027588,0.6081492322248069,0.5922973667329691,0.6125883498761366,0.590030083094409,0.5302100657070552
0.24,0.6703134860480716,0.6008100840962644,0.5862284736233783,0.5394475713790507,0.5877969724495555,0.6046856461482395,0.5882267988754644,0.6102186596059255,0.5857986471974694,0.5339145579213647
0.25,0.6437649207456497,0.588853569463041,0.5630098607051701,0.5336858994293555,0.5631490578122909,0.5997581062688695,0.5641953362575103,0.6052958704607925,0.5619635822599508,0.5281481352374326
0.26,0.632370992020425,0.5699961527039556,0.5619368887149746,0.5216174399638753,0.5617439005413993,0.589366449442797,0.5631613576280039,0.5954454568241292,0.5605194316283699,0.5155384325825432
0.27,0.6150772578545798,0.5398093109190292,0.534680281127835,0.4653278447125134,0.5339724508943879,0.5387812469137441,0.5355479781441757,0.5457890399211826,0.5331047538780475,0.45832005170507495
0.28,0.6427580199068117,0.5614255745951243,0.5458110330194859,0.4906598018010671,0.5455463105385439,0.5599764314584436,0.5469392431022229,0.5668968094089308,0.5444181004558069,0.4837394238505797
0.29,0.6008591945586251,0.5354633698664577,0.5149390543405462,0.4811962763714116,0.5140671403454311,0.547377092931497,0.5158959134674241,0.5554049320787091,0.5131102812185533,0.4731684372241995
0.3,0.5771785709457868,0.49934396058181874,0.4948649303675775,0.42204341196959555,0.49398007722138215,0.4906219041014914,0.49598283187281644,0.5011443197205689,0.492862175716143,0.41152099635051814
