,group_0_ICC_2,group_1_ICC_2,group_0_kappa,group_1_kappa,group_0_PABAK,group_1_PABAK,group_0_PAK,group_1_PAK,group_0_BAK,group_1_BAK
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.999433822417954,0.9993537322667901,0.9975441197918367,0.9973503431807206,0.9975491941845448,0.998074583811212,0.9975491978744049,0.9980745991680816,0.9975441161019765,0.997350327823851
0.02,0.9986337141001667,0.9981761063165498,0.9895368042962691,0.9848323839692055,0.9896489642739409,0.9884661030405082,0.9896490736511334,0.988466323218159,0.9895366949190766,0.984832163791555
0.03,0.9980637111146693,0.9972174541561264,0.9866461038972961,0.9819935004187543,0.9867627115952479,0.9866192940072327,0.9867628500223032,0.9866194890318536,0.9866459654702403,0.9819933053941338
0.04,0.9973384198166471,0.9964040105655853,0.9851100983257194,0.9767990286512221,0.9852456123683506,0.9828991479300291,0.9852458042160516,0.9828994270769972,0.9851099064780182,0.976798749504254
0.05,0.9967227473532203,0.9972110842335591,0.9761720944907442,0.9761858381891553,0.9764016292815416,0.9820202270177223,0.9764017662953997,0.9820204839475387,0.9761719574768859,0.9761855812593387
0.06,0.9957502896921738,0.9946881223572583,0.966860927881218,0.9796120305869724,0.9670805586383487,0.9848053147590716,0.9670813183460012,0.9848058261471808,0.9668601681735656,0.9796115191988634
0.07,0.9952648370831332,0.9949446818798812,0.9683607907151648,0.9689971181990742,0.9686127091084715,0.9764058384462231,0.9686128897975157,0.9764068528877481,0.9683606100261206,0.9689961037575493
0.08,0.9956892458696807,0.9926234211514409,0.9753386762512608,0.9605751505025848,0.9754880802708984,0.9711361671238455,0.975488562687486,0.9711371009261842,0.9753381938346732,0.9605742167002462
0.09,0.9937307022513785,0.9928956104666306,0.9698146550194069,0.9645639684589884,0.9700277609853469,0.9733415189264244,0.9700291016981282,0.9733421040051609,0.9698133143066257,0.964563383380252
0.1,0.994684382690264,0.9930248385418615,0.9667811007690364,0.9561891599453597,0.9670545414551819,0.966930725398427,0.9670555937069587,0.9669316770656895,0.9667800485172593,0.9561882082780974
0.11,0.9929160276929185,0.9910227994342444,0.9513837082523224,0.936925692986603,0.9518981936431979,0.9523142694840393,0.9518992713992718,0.9523195707020141,0.9513826304962487,0.9369203917686277
0.12,0.991570581307913,0.9911560868220166,0.9553262752208271,0.9580007775556817,0.9557185627592,0.9685550892633092,0.9557199728356005,0.9685571773981396,0.9553248651444266,0.9579986894208515
0.13,0.9919090868873566,0.9901281643058795,0.9454530430349035,0.9468197177809277,0.9459204272462614,0.9599989901565763,0.9459243364836922,0.9600021308894859,0.9454491337974724,0.9468165770480181
0.14,0.9916290027580192,0.9901725654981346,0.9518675839384508,0.9389884367883667,0.9522970520882318,0.9550450871522106,0.9522976996822233,0.9550482910698473,0.951866936344459,0.9389852328707301
0.15,0.9906464198461628,0.9888895651098248,0.9429055893495146,0.94112896823335,0.94348430277355,0.956023406321585,0.9434870864625753,0.9560261991934406,0.9429028056604896,0.9411261753614945
0.16,0.9898201529819441,0.987477012802613,0.9459281751400817,0.9213249968000989,0.946429419522213,0.9407706916855745,0.9464313391071612,0.9407738690965519,0.9459262555551335,0.9213218193891214
0.17,0.989195878678666,0.9867151978239402,0.9380003657284005,0.9285140337187681,0.9385430238975416,0.947222242836102,0.9385438922428347,0.9472239523197341,0.9379994973831076,0.9285123242351357
